accuracy,loss,batches,emb_dim,hid_dim,epochs,batch_size,learning_rate,teacher_forcing,model_name
18.37,60.40,4108,64,128,5,32,0.001,1.0,models_train/18.37_60.40_4108_64_128_5_32_seq2seq_model.pt
14.18,76.42,4108,64,128,5,32,0.001,0.7,models_train/14.18_76.42_4108_64_128_5_32_seq2seq_model.pt
17.43,65.01,4108,64,128,5,32,0.0005,1.0,models_train/17.43_65.01_4108_64_128_5_32_seq2seq_model.pt
13.64,79.25,4108,64,128,5,32,0.0005,0.7,models_train/13.64_79.25_4108_64_128_5_32_seq2seq_model.pt
16.91,63.44,2054,64,128,5,64,0.001,1.0,models_train/16.91_63.44_2054_64_128_5_64_seq2seq_model.pt
13.24,79.26,2054,64,128,5,64,0.001,0.7,models_train/13.24_79.26_2054_64_128_5_64_seq2seq_model.pt
15.86,68.77,2054,64,128,5,64,0.0005,1.0,models_train/15.86_68.77_2054_64_128_5_64_seq2seq_model.pt
12.55,82.24,2054,64,128,5,64,0.0005,0.7,models_train/12.55_82.24_2054_64_128_5_64_seq2seq_model.pt
19.73,54.23,4108,64,128,10,32,0.001,1.0,models_train/19.73_54.23_4108_64_128_10_32_seq2seq_model.pt
14.87,72.48,4108,64,128,10,32,0.001,0.7,models_train/14.87_72.48_4108_64_128_10_32_seq2seq_model.pt
18.71,58.49,4108,64,128,10,32,0.0005,1.0,models_train/18.71_58.49_4108_64_128_10_32_seq2seq_model.pt
14.35,75.32,4108,64,128,10,32,0.0005,0.7,models_train/14.35_75.32_4108_64_128_10_32_seq2seq_model.pt
18.37,56.29,2054,64,128,10,64,0.001,1.0,models_train/18.37_56.29_2054_64_128_10_64_seq2seq_model.pt
13.92,74.60,2054,64,128,10,64,0.001,0.7,models_train/13.92_74.60_2054_64_128_10_64_seq2seq_model.pt
17.14,61.86,2054,64,128,10,64,0.0005,1.0,models_train/17.14_61.86_2054_64_128_10_64_seq2seq_model.pt
13.35,77.89,2054,64,128,10,64,0.0005,0.7,models_train/13.35_77.89_2054_64_128_10_64_seq2seq_model.pt
19.62,52.86,4108,64,256,5,32,0.001,1.0,models_train/19.62_52.86_4108_64_256_5_32_seq2seq_model.pt
14.62,73.02,4108,64,256,5,32,0.001,0.7,models_train/14.62_73.02_4108_64_256_5_32_seq2seq_model.pt
18.45,58.40,4108,64,256,5,32,0.0005,1.0,models_train/18.45_58.40_4108_64_256_5_32_seq2seq_model.pt
14.14,75.73,4108,64,256,5,32,0.0005,0.7,models_train/14.14_75.73_4108_64_256_5_32_seq2seq_model.pt
18.01,56.23,2054,64,256,5,64,0.001,1.0,models_train/18.01_56.23_2054_64_256_5_64_seq2seq_model.pt
13.60,75.67,2054,64,256,5,64,0.001,0.7,models_train/13.60_75.67_2054_64_256_5_64_seq2seq_model.pt
16.85,62.48,2054,64,256,5,64,0.0005,1.0,models_train/16.85_62.48_2054_64_256_5_64_seq2seq_model.pt
13.11,79.02,2054,64,256,5,64,0.0005,0.7,models_train/13.11_79.02_2054_64_256_5_64_seq2seq_model.pt
